,Name,R,2B,3B,HR,BB,IBB,SO,BA,OBP,SLG,OPS,bbType_flyBall,bbType_groundBall,bbType_lineDrive,bbType_popUp,2BperPA,3BperPA,HRperPA,BBperPA,IBBperPA,SOperPA,launch_speed_mean,launch_angle_mean,p1,p2,p3,p4
232,Garrett Jones,340,176,11,120,259,18,660,0.252,0.313,0.448,0.7609999999999999,0.31678383128295257,0.4037785588752197,0.19815465729349732,0.0812829525483304,0.055979643765903316,0.0034987277353689572,0.03816793893129771,0.08237913486005087,0.005725190839694657,0.2099236641221374,89.13142857142857,12.238095238095234,-1.956744759298064,-1.2992412243620928,-0.669480803662816,3.302517811061074
233,Matthew Joyce,531,205,15,147,547,26,919,0.244,0.343,0.428,0.772,0.29461756373937675,0.39058073654390935,0.2269830028328612,0.08781869688385269,0.04783014465702287,0.003499766682221185,0.034297713485767614,0.1276248250116659,0.0060662622491833885,0.21441903873075127,87.62708333333332,15.142210144927535,-1.9454371972622555,-1.2951298067571198,-0.721323851215053,3.2045261028354104
234,Aaron Judge,313,69,4,119,286,18,575,0.272,0.39,0.5579999999999999,0.948,0.2970106075216972,0.3886210221793636,0.2729026036644166,0.03953712632594021,0.03766375545851528,0.002183406113537118,0.06495633187772926,0.15611353711790393,0.009825327510917031,0.3138646288209607,94.72310679611653,13.727184466019418,-2.0929583060982755,-1.3747363149834106,-0.7722411070354968,3.463166604811119
235,Matt Kemp,873,319,31,270,493,68,1522,0.282,0.336,0.483,0.82,0.29140978216194,0.4276613234689684,0.2476366625565146,0.03329223181257707,0.04903166308023363,0.0047648324623424535,0.04150015370427298,0.07577620657854288,0.010451890562557641,0.23393790347371654,88.73377445339472,12.66321243523316,-1.9405513622667014,-1.2855602518353657,-0.6764996626255779,3.291317574158882
236,Howie Kendrick,712,309,35,118,331,30,997,0.292,0.338,0.429,0.767,0.20198216055500487,0.5571853320118929,0.221605550049554,0.019226957383548068,0.05341400172860847,0.0060501296456352644,0.020397579948141745,0.05721694036300778,0.0051858254105445105,0.17234226447709594,90.13400630914828,4.242271293375394,-1.979952014858597,-1.2283529302952516,-0.5707590608021837,3.4144651899810876
238,Max Kepler,324,123,8,101,242,7,441,0.237,0.319,0.444,0.763,0.2546189376443418,0.4012702078521939,0.2396073903002309,0.10450346420323324,0.050721649484536085,0.0032989690721649486,0.041649484536082484,0.0997938144329897,0.00288659793814433,0.1818556701030928,89.32066549912433,15.214244016345592,-1.977480399482044,-1.3000651670521421,-0.7106932309219742,3.2804119026449325
240,Kevin Kiermaier,328,113,44,71,189,10,576,0.248,0.307,0.413,0.72,0.18159079539769885,0.5027513756878439,0.2256128064032016,0.09004502251125562,0.04124087591240876,0.016058394160583942,0.025912408759124088,0.06897810218978102,0.0036496350364963507,0.21021897810218976,87.59411418481459,8.823529411764708,-1.9425814809306026,-1.2043565330772426,-0.6234892905700764,3.2714623972773835
241,Ian Kinsler,1082,367,38,223,591,8,899,0.269,0.335,0.439,0.774,0.2973504920514762,0.3645722937168812,0.2304314912944739,0.1076457229371688,0.0505579280892685,0.005234880837580934,0.030720484915277582,0.08141617302658767,0.0011020801763328284,0.12384625981540155,86.03639328984156,18.225535880708293,-1.8917669285214207,-1.2896431195574343,-0.716422071453654,3.149888205365172
242,Jason Kipnis,607,260,24,126,467,16,951,0.26,0.333,0.416,0.75,0.2439499304589708,0.4300417246175243,0.2678720445062587,0.05813630041724618,0.0521669341894061,0.004815409309791332,0.02528089887640449,0.09369983948635634,0.003210272873194221,0.19081059390048155,88.1885864374403,14.452244508118431,-1.9550716225527083,-1.2808597384335132,-0.6974710532955156,3.2535646209786866
247,Juan Lagares,227,97,19,25,106,13,438,0.254,0.297,0.361,0.6579999999999999,0.1967005076142132,0.5050761421319797,0.2182741116751269,0.0799492385786802,0.045754716981132065,0.008962264150943396,0.01179245283018868,0.05,0.0061320754716981144,0.20660377358490567,88.36545253863133,9.816777041942604,-1.9514819016349632,-1.2387050306354022,-0.632462410506804,3.317296865712154
