,Name,R,2B,3B,HR,BB,IBB,SO,BA,OBP,SLG,OPS,bbType_flyBall,bbType_groundBall,bbType_lineDrive,bbType_popUp,2BperPA,3BperPA,HRperPA,BBperPA,IBBperPA,SOperPA,p1,p2,p3,p4
106,Rajai Davis,604,214,41,61,244,4,814,0.261,0.308,0.38,0.688,0.21596783457782884,0.4695577254451465,0.21453187823090172,0.09994256174612293,0.04894784995425434,0.009377859103385178,0.013952424519670631,0.055809698078682524,0.0009149130832570906,0.18618481244281795,-0.2552552140138611,0.12115695624546412,-0.040180477086865236,-0.04571995572891711
107,Alejandro De Aza,353,123,31,51,219,12,585,0.262,0.329,0.401,0.7290000000000001,0.2502477700693756,0.44202180376610506,0.2527254707631318,0.05500495540138752,0.04522058823529412,0.011397058823529413,0.01875,0.08051470588235295,0.004411764705882353,0.21507352941176472,-0.22093379719788844,0.09182279439834028,-0.09319916728801582,-0.039010072917184085
108,David DeJesus,429,177,39,68,327,9,554,0.271,0.344,0.41,0.754,0.2594582493843743,0.4658607566599508,0.2131184239982091,0.06156256995746586,0.047644683714670254,0.01049798115746972,0.018304172274562585,0.08802153432032303,0.002422611036339165,0.14912516823687752,-0.26186689332824237,0.09665628008324689,-0.08747839125648815,-0.049934068025928924
109,Paul DeJong,237,88,3,77,136,4,446,0.251,0.319,0.455,0.774,0.2764158918005072,0.3406593406593407,0.2688081149619611,0.1132713440405748,0.049689440993788817,0.0016939582156973462,0.043478260869565216,0.07679277244494635,0.002258610954263128,0.2518351214003388,-0.17557737066474238,-0.005642794575092125,-0.0428895268893041,-0.014388590262047267
110,Chris Denorfia,267,94,17,39,170,7,378,0.271,0.328,0.392,0.721,0.17554683118339875,0.5816040381379697,0.20302860347728546,0.03982052720134605,0.042323277802791534,0.0076542098153984705,0.017559657811796487,0.07654209815398469,0.0031517334533993696,0.17019360648356596,-0.299002323242763,0.23588858454363162,-0.08487217452398814,-0.06022196032681617
111,Mark DeRosa,235,75,5,52,175,2,328,0.255,0.338,0.417,0.755,0.2803583278035833,0.4727936297279363,0.1927670869276709,0.05408095554080957,0.043936731107205626,0.0029291154071470413,0.03046280023432923,0.10251903925014644,0.0011716461628588164,0.19214997070884596,-0.28608477903862406,0.08690010106648015,-0.09784303662007067,-0.052100794677347254
112,Daniel Descalso,326,126,25,48,303,28,600,0.235,0.32,0.362,0.6829999999999999,0.2363013698630137,0.4481409001956947,0.24217221135029354,0.07289628180039139,0.043553404770134814,0.008641548565502939,0.01659177324576564,0.10473556861389563,0.00967853439336329,0.20739716557207047,-0.22683704812847913,0.10191473616391993,-0.06907227137357755,-0.040811850173992165
113,Delino DeShields,298,76,19,18,202,1,476,0.246,0.326,0.34,0.6659999999999999,0.188353702372394,0.5240833932422717,0.22429906542056074,0.06326383896477354,0.03696498054474708,0.00924124513618677,0.008754863813229572,0.09824902723735407,0.00048638132295719845,0.2315175097276265,-0.2608275702172121,0.18695836981062533,-0.0649610772301778,-0.05528459071168211
114,Ian Desmond,724,277,37,181,387,13,1402,0.263,0.315,0.4270000000000001,0.742,0.19764649375600385,0.5273775216138329,0.2149375600384246,0.06003842459173873,0.046601615074024216,0.006224764468371467,0.030450874831763126,0.06510767160161507,0.002187079407806191,0.23586810228802155,-0.27447143549357345,0.18057785568188137,-0.07137550492294742,-0.04741046219745637
115,Rafael Devers,254,108,5,74,117,16,364,0.279,0.332,0.498,0.83,0.21785421785421785,0.4660114660114661,0.2391482391482392,0.07698607698607697,0.06428571428571428,0.002976190476190476,0.04404761904761905,0.06964285714285715,0.009523809523809523,0.21666666666666667,-0.236355074929934,0.12315812260381859,-0.05935801599170577,-0.021770736557965943
